RowID|ProgramID|ProgramName|ParameterName|LocationID|ProgramLocationID|SampleDate|Year|Month|AreaID|ManagedAreaName|Region|CommonIdentifier|SpeciesName|GenusName|SpeciesGroup1|SpeciesGroup2|SamplingMethod|QuadSize_m2|PlotSize_m2|ResultValue|CoralRegion|MADup|CoralRegionDup|DataFileName|q_subset
9819|169|Abundance, Distribution, and Condition of Acropora Corals, Other Benthic Coral Reef Organisms, and Marine Debris (SCREAM)|Height|296299|276-2011|2011-12-31T00:00:00Z|2011|12|15|Florida Keys National Marine Sanctuary|SE|Acropora palmata|palmata|Acropora|Scleractinian||NA|15||245|FLA KEYS|1|1|Data_169A_Final.csv|high
16265|169|Abundance, Distribution, and Condition of Acropora Corals, Other Benthic Coral Reef Organisms, and Marine Debris (SCREAM)|Height|296308|278-2011|2011-12-31T00:00:00Z|2011|12|15|Florida Keys National Marine Sanctuary|SE|Acropora palmata|palmata|Acropora|Scleractinian||NA|15||143|FLA KEYS|1|1|Data_169A_Final.csv|high
16278|169|Abundance, Distribution, and Condition of Acropora Corals, Other Benthic Coral Reef Organisms, and Marine Debris (SCREAM)|Height|296320|28-2007|2007-12-31T00:00:00Z|2007|12|15|Florida Keys National Marine Sanctuary|SE|Acropora palmata|palmata|Acropora|Scleractinian||NA|15||150|FLA KEYS|1|1|Data_169A_Final.csv|high
19408|169|Abundance, Distribution, and Condition of Acropora Corals, Other Benthic Coral Reef Organisms, and Marine Debris (SCREAM)|Height|296320|28-2007|2007-12-31T00:00:00Z|2007|12|15|Florida Keys National Marine Sanctuary|SE|Acropora palmata|palmata|Acropora|Scleractinian||NA|15||125|FLA KEYS|1|1|Data_169A_Final.csv|high
26546|169|Abundance, Distribution, and Condition of Acropora Corals, Other Benthic Coral Reef Organisms, and Marine Debris (SCREAM)|Height|296286|273-2011|2011-12-31T00:00:00Z|2011|12|15|Florida Keys National Marine Sanctuary|SE|Acropora palmata|palmata|Acropora|Scleractinian||NA|15||319|FLA KEYS|1|1|Data_169A_Final.csv|high
46653|169|Abundance, Distribution, and Condition of Acropora Corals, Other Benthic Coral Reef Organisms, and Marine Debris (SCREAM)|Height|296015|217-2007|2007-12-31T00:00:00Z|2007|12|15|Florida Keys National Marine Sanctuary|SE|Acropora palmata|palmata|Acropora|Scleractinian||NA|15||140|FLA KEYS|1|1|Data_169A_Final.csv|high
79183|169|Abundance, Distribution, and Condition of Acropora Corals, Other Benthic Coral Reef Organisms, and Marine Debris (SCREAM)|Height|296732|39-2006|2006-12-31T00:00:00Z|2006|12|15|Florida Keys National Marine Sanctuary|SE|Acropora palmata|palmata|Acropora|Scleractinian||NA|15||190|FLA KEYS|1|1|Data_169A_Final.csv|high
87196|169|Abundance, Distribution, and Condition of Acropora Corals, Other Benthic Coral Reef Organisms, and Marine Debris (SCREAM)|Height|298146|78-2006|2006-12-31T00:00:00Z|2006|12|15|Florida Keys National Marine Sanctuary|SE|Acropora palmata|palmata|Acropora|Scleractinian||NA|15||140|FLA KEYS|1|1|Data_169A_Final.csv|high
88828|169|Abundance, Distribution, and Condition of Acropora Corals, Other Benthic Coral Reef Organisms, and Marine Debris (SCREAM)|Height|296015|217-2007|2007-12-31T00:00:00Z|2007|12|15|Florida Keys National Marine Sanctuary|SE|Acropora palmata|palmata|Acropora|Scleractinian||NA|15||135|FLA KEYS|1|1|Data_169A_Final.csv|high
109043|169|Abundance, Distribution, and Condition of Acropora Corals, Other Benthic Coral Reef Organisms, and Marine Debris (SCREAM)|Height|295470|114-2011|2011-12-31T00:00:00Z|2011|12|15|Florida Keys National Marine Sanctuary|SE|Acropora palmata|palmata|Acropora|Scleractinian||NA|15||140|FLA KEYS|1|1|Data_169A_Final.csv|high
111944|169|Abundance, Distribution, and Condition of Acropora Corals, Other Benthic Coral Reef Organisms, and Marine Debris (SCREAM)|Height|296308|278-2011|2011-12-31T00:00:00Z|2011|12|15|Florida Keys National Marine Sanctuary|SE|Acropora palmata|palmata|Acropora|Scleractinian||NA|15||145|FLA KEYS|1|1|Data_169A_Final.csv|high
351782|169|Abundance, Distribution, and Condition of Acropora Corals, Other Benthic Coral Reef Organisms, and Marine Debris (SCREAM)|Height|296015|217-2007|2007-12-31T00:00:00Z|2007|12|15|Florida Keys National Marine Sanctuary|SE|Acropora palmata|palmata|Acropora|Scleractinian||NA|15||130|FLA KEYS|1|1|Data_169A_Final.csv|high
5249962|169|Abundance, Distribution, and Condition of Acropora Corals, Other Benthic Coral Reef Organisms, and Marine Debris (SCREAM)|Height|296636|363C|2005-12-31T00:00:00Z|2005|12|15|Florida Keys National Marine Sanctuary|SE|Siderastrea siderea|siderea|Siderastrea|Scleractinian||Transect|10||130|FLA KEYS|1|1|Data_169C_Final.csv|high
5599063|169|Abundance, Distribution, and Condition of Acropora Corals, Other Benthic Coral Reef Organisms, and Marine Debris (SCREAM)|Height|295888|190C|2005-12-31T00:00:00Z|2005|12|15|Florida Keys National Marine Sanctuary|SE|Orbicella faveolata|faveolata|Orbicella|Scleractinian||Transect|10||128|FLA KEYS|1|1|Data_169C_Final.csv|high
5599481|169|Abundance, Distribution, and Condition of Acropora Corals, Other Benthic Coral Reef Organisms, and Marine Debris (SCREAM)|Height|297646|622C|2005-12-31T00:00:00Z|2005|12|15|Florida Keys National Marine Sanctuary|SE|Orbicella faveolata|faveolata|Orbicella|Scleractinian||Transect|10||130|FLA KEYS|1|1|Data_169C_Final.csv|high
5599482|169|Abundance, Distribution, and Condition of Acropora Corals, Other Benthic Coral Reef Organisms, and Marine Debris (SCREAM)|Height|297646|622C|2005-12-31T00:00:00Z|2005|12|15|Florida Keys National Marine Sanctuary|SE|Orbicella faveolata|faveolata|Orbicella|Scleractinian||Transect|10||280|FLA KEYS|1|1|Data_169C_Final.csv|high
5599484|169|Abundance, Distribution, and Condition of Acropora Corals, Other Benthic Coral Reef Organisms, and Marine Debris (SCREAM)|Height|297646|622C|2005-12-31T00:00:00Z|2005|12|15|Florida Keys National Marine Sanctuary|SE|Orbicella faveolata|faveolata|Orbicella|Scleractinian||Transect|10||240|FLA KEYS|1|1|Data_169C_Final.csv|high
5599620|169|Abundance, Distribution, and Condition of Acropora Corals, Other Benthic Coral Reef Organisms, and Marine Debris (SCREAM)|Height|297646|622C|2005-12-31T00:00:00Z|2005|12|15|Florida Keys National Marine Sanctuary|SE|Orbicella faveolata|faveolata|Orbicella|Scleractinian||Transect|10||225|FLA KEYS|1|1|Data_169C_Final.csv|high
