RowID|ProgramID|ProgramName|ParameterName|LocationID|ProgramLocationID|ManagedAreaName|Region|SampleDate|Year|Month|SurveyMethod|PercentLiveMethod|HabitatClassification|MinimumSizeMeasured_mm|NumberMeasured_n|QuadSize_m2|ResultValue|QuadIdentifier|ReefIdentifier|LiveDate|LiveDate_Qualifier|LiveDate_MinEstDate|LiveDate_MaxEstDate|SampleAge_Stdev|UniversalReefID|MADup|DataFileName|AreaID|q_subset
11|5017|Northern Coastal Basins and Mosquito Lagoon Oyster Condition Assessment|Shell Height/0.06m2|864533|MLC21|Mosquito Lagoon Aquatic Preserve|NE|2015-06-03T00:00:00Z|2015|6|Transect Quadrat|Point-intercept|Natural||50|0.06|1|S15MLC21F28|MLC21|2015-06-03T00:00:00Z|Exact||||173590|1|Data_5017F_Final.csv|29|low
12|5017|Northern Coastal Basins and Mosquito Lagoon Oyster Condition Assessment|Shell Height/0.06m2|864533|MLC21|Mosquito Lagoon Aquatic Preserve|NE|2015-06-03T00:00:00Z|2015|6|Transect Quadrat|Point-intercept|Natural||50|0.06|1|S15MLC21F20|MLC21|2015-06-03T00:00:00Z|Exact||||173590|1|Data_5017F_Final.csv|29|low
88|5017|Northern Coastal Basins and Mosquito Lagoon Oyster Condition Assessment|Shell Height/0.06m2|864533|MLC21|Mosquito Lagoon Aquatic Preserve|NE|2015-06-03T00:00:00Z|2015|6|Transect Quadrat|Point-intercept|Natural||50|0.06|1|S15MLC21F28|MLC21|2015-06-03T00:00:00Z|Exact||||173590|1|Data_5017F_Final.csv|29|low
95|5017|Northern Coastal Basins and Mosquito Lagoon Oyster Condition Assessment|Shell Height/0.06m2|864533|MLC21|Mosquito Lagoon Aquatic Preserve|NE|2015-06-03T00:00:00Z|2015|6|Transect Quadrat|Point-intercept|Natural||50|0.06|1|S15MLC21F20|MLC21|2015-06-03T00:00:00Z|Exact||||173590|1|Data_5017F_Final.csv|29|low
97|5017|Northern Coastal Basins and Mosquito Lagoon Oyster Condition Assessment|Shell Height/0.06m2|864533|MLC21|Mosquito Lagoon Aquatic Preserve|NE|2015-06-03T00:00:00Z|2015|6|Transect Quadrat|Point-intercept|Natural||50|0.06|1|S15MLC21F20|MLC21|2015-06-03T00:00:00Z|Exact||||173590|1|Data_5017F_Final.csv|29|low
99|5017|Northern Coastal Basins and Mosquito Lagoon Oyster Condition Assessment|Shell Height/0.06m2|864533|MLC21|Mosquito Lagoon Aquatic Preserve|NE|2015-06-03T00:00:00Z|2015|6|Transect Quadrat|Point-intercept|Natural||50|0.06|1|S15MLC21F20|MLC21|2015-06-03T00:00:00Z|Exact||||173590|1|Data_5017F_Final.csv|29|low
103|5017|Northern Coastal Basins and Mosquito Lagoon Oyster Condition Assessment|Shell Height/0.06m2|864533|MLC21|Mosquito Lagoon Aquatic Preserve|NE|2015-06-03T00:00:00Z|2015|6|Transect Quadrat|Point-intercept|Natural||50|0.06|1|S15MLC21F20|MLC21|2015-06-03T00:00:00Z|Exact||||173590|1|Data_5017F_Final.csv|29|low
366|5017|Northern Coastal Basins and Mosquito Lagoon Oyster Condition Assessment|Shell Height/0.06m2|864533|MLC21|Mosquito Lagoon Aquatic Preserve|NE|2015-06-03T00:00:00Z|2015|6|Transect Quadrat|Point-intercept|Natural||50|0.06|1|S15MLC21F28|MLC21|2015-06-03T00:00:00Z|Exact||||173590|1|Data_5017F_Final.csv|29|low
389|5017|Northern Coastal Basins and Mosquito Lagoon Oyster Condition Assessment|Shell Height/0.06m2|864533|MLC21|Mosquito Lagoon Aquatic Preserve|NE|2015-06-03T00:00:00Z|2015|6|Transect Quadrat|Point-intercept|Natural||50|0.06|1|S15MLC21F28|MLC21|2015-06-03T00:00:00Z|Exact||||173590|1|Data_5017F_Final.csv|29|low
393|5017|Northern Coastal Basins and Mosquito Lagoon Oyster Condition Assessment|Shell Height/0.06m2|864533|MLC21|Mosquito Lagoon Aquatic Preserve|NE|2015-06-03T00:00:00Z|2015|6|Transect Quadrat|Point-intercept|Natural||50|0.06|1|S15MLC21F28|MLC21|2015-06-03T00:00:00Z|Exact||||173590|1|Data_5017F_Final.csv|29|low
758|5017|Northern Coastal Basins and Mosquito Lagoon Oyster Condition Assessment|Shell Height/0.06m2|864533|MLC21|Mosquito Lagoon Aquatic Preserve|NE|2015-06-03T00:00:00Z|2015|6|Transect Quadrat|Point-intercept|Natural||50|0.06|1|S15MLC21F28|MLC21|2015-06-03T00:00:00Z|Exact||||173590|1|Data_5017F_Final.csv|29|low
