RowID|ProgramID|ProgramName|ParameterName|LocationID|ProgramLocationID|SampleDate|Year|Month|ManagedAreaName|Region|CommonIdentifier|SpeciesName|GenusName|SpeciesGroup1|SpeciesGroup2|SamplingMethod1|SamplingMethod2|GearType|MeshSize_mm|GearSize_m|AreaSwept_m2|Time_of_tow_mm|Speed_of_tow_kph|ResultValue|DistanceTowed_m|EffortCorrection_100m2|ReplicateNumber_QuadIdentifier|MADup|DataFileName|AreaID|q_subset
36|129|Apalachicola National Estuarine Research Reserve Juvenile Fish and Benthic Macroinvertebrate  Monitoring|Count/100m2 (effort corrected)|114999|1|2007-09-24T00:00:00Z|2007|9|Apalachicola National Estuarine Research Reserve|NW|Anchoa mitchilli|mitchilli|Anchoa||Nekton - Osteichthyes|presence/absence, Count, Length|Trawl|Trawl|25.4|4.8||2|1|174.259259259259||5.4|5|1|Data_129B_Final.csv|3|high
215|129|Apalachicola National Estuarine Research Reserve Juvenile Fish and Benthic Macroinvertebrate  Monitoring|Count/100m2 (effort corrected)|115000|10|2014-03-21T00:00:00Z|2014|3|Apalachicola National Estuarine Research Reserve|NW|Anchoa mitchilli|mitchilli|Anchoa||Nekton - Osteichthyes|presence/absence, Count, Length|Trawl|Trawl|25.4|4.8||2|1|721.111111111111||5.4|1|1|Data_129B_Final.csv|3|high
295|129|Apalachicola National Estuarine Research Reserve Juvenile Fish and Benthic Macroinvertebrate  Monitoring|Count/100m2 (effort corrected)|115000|10|2012-12-11T00:00:00Z|2012|12|Apalachicola National Estuarine Research Reserve|NW|Anchoa mitchilli|mitchilli|Anchoa||Nekton - Osteichthyes|presence/absence, Count, Length|Trawl|Trawl|25.4|4.8||2|1|102.592592592593||5.4|3|1|Data_129B_Final.csv|3|high
342|129|Apalachicola National Estuarine Research Reserve Juvenile Fish and Benthic Macroinvertebrate  Monitoring|Count/100m2 (effort corrected)|115000|10|2016-03-28T00:00:00Z|2016|3|Apalachicola National Estuarine Research Reserve|NW|Brevoortia spp.||Brevoortia||Nekton - Osteichthyes|presence/absence, Count, Length|Trawl|Trawl|25.4|4.8||2|1|125.925925925926||5.4|5|1|Data_129B_Final.csv|3|high
400|129|Apalachicola National Estuarine Research Reserve Juvenile Fish and Benthic Macroinvertebrate  Monitoring|Count/100m2 (effort corrected)|115000|10|2011-02-16T00:00:00Z|2011|2|Apalachicola National Estuarine Research Reserve|NW|Leiostomus xanthurus|xanthurus|Leiostomus|Grazers and reef dependent species|Nekton - Osteichthyes|presence/absence, Count, Length|Trawl|Trawl|25.4|4.8||2|1|321.666666666667||5.4|1|1|Data_129B_Final.csv|3|high
401|129|Apalachicola National Estuarine Research Reserve Juvenile Fish and Benthic Macroinvertebrate  Monitoring|Count/100m2 (effort corrected)|115000|10|2011-02-16T00:00:00Z|2011|2|Apalachicola National Estuarine Research Reserve|NW|Leiostomus xanthurus|xanthurus|Leiostomus|Grazers and reef dependent species|Nekton - Osteichthyes|presence/absence, Count, Length|Trawl|Trawl|25.4|4.8||2|1|331.851851851852||5.4|5|1|Data_129B_Final.csv|3|high
648|129|Apalachicola National Estuarine Research Reserve Juvenile Fish and Benthic Macroinvertebrate  Monitoring|Count/100m2 (effort corrected)|115007|5|2009-10-26T00:00:00Z|2009|10|Apalachicola Bay Aquatic Preserve|NW|Anchoa mitchilli|mitchilli|Anchoa||Nekton - Osteichthyes|presence/absence, Count, Length|Trawl|Trawl|25.4|4.8||2|1|114.074074074074||5.4|1|1|Data_129B_Final.csv|2|high
725|129|Apalachicola National Estuarine Research Reserve Juvenile Fish and Benthic Macroinvertebrate  Monitoring|Count/100m2 (effort corrected)|115000|10|2014-07-11T00:00:00Z|2014|7|Apalachicola National Estuarine Research Reserve|NW|Anchoa mitchilli|mitchilli|Anchoa||Nekton - Osteichthyes|presence/absence, Count, Length|Trawl|Trawl|25.4|4.8||2|1|104.259259259259||5.4|1|1|Data_129B_Final.csv|3|high
744|129|Apalachicola National Estuarine Research Reserve Juvenile Fish and Benthic Macroinvertebrate  Monitoring|Count/100m2 (effort corrected)|115000|10|2015-06-16T00:00:00Z|2015|6|Apalachicola National Estuarine Research Reserve|NW|Anchoa mitchilli|mitchilli|Anchoa||Nekton - Osteichthyes|presence/absence, Count, Length|Trawl|Trawl|25.4|4.8||2|1|121.481481481481||5.4|5|1|Data_129B_Final.csv|3|high
889|129|Apalachicola National Estuarine Research Reserve Juvenile Fish and Benthic Macroinvertebrate  Monitoring|Count/100m2 (effort corrected)|115009|7|2002-07-16T00:00:00Z|2002|7|Apalachicola National Estuarine Research Reserve|NW|Anchoa mitchilli|mitchilli|Anchoa||Nekton - Osteichthyes|presence/absence, Count, Length|Trawl|Trawl|25.4|4.8||2|1|81.6666666666667||5.4|5|1|Data_129B_Final.csv|3|high
